Sexo;Edad;Familia profesional;Total
Ambos sexos;Total;Total que han realizado Ciclos formativos o enseñanzas deportivas de grado medio o Enseñanzas artísticas profesionales;100
Ambos sexos;Total;Agraria;1,2
Ambos sexos;Total;Industrias alimentarias;0,6
Ambos sexos;Total;Química;1
Ambos sexos;Total;Imagen personal;3,4
Ambos sexos;Total;Sanidad;21,2
Ambos sexos;Total;Fabricación mecánica;1,4
Ambos sexos;Total;Electricidad y electrónica;7
Ambos sexos;Total;Transporte y mantenimiento de vehículos;1,5
Ambos sexos;Total;Imagen y sonido;1,1
Ambos sexos;Total;Administración y gestión;18,3
Ambos sexos;Total;Comercio y marketing;3
Ambos sexos;Total;Servicios socioculturales y a la comunidad;4,6
Ambos sexos;Total;Hostelería y turismo;2,6
Ambos sexos;Total;Actividades físicas y deportivas;11,9
Ambos sexos;Total;Enseñanzas artísticas profesionales;21,7
Ambos sexos;Total;Otras familias profesionales;3,8
Ambos sexos;Menores de 30 años;Total que han realizado Ciclos formativos o enseñanzas deportivas de grado medio o Enseñanzas artísticas profesionales;100
Ambos sexos;Menores de 30 años;Agraria;0,1
Ambos sexos;Menores de 30 años;Industrias alimentarias;0,9
Ambos sexos;Menores de 30 años;Química;0
Ambos sexos;Menores de 30 años;Imagen personal;1,4
Ambos sexos;Menores de 30 años;Sanidad;10,5
Ambos sexos;Menores de 30 años;Fabricación mecánica;0,3
Ambos sexos;Menores de 30 años;Electricidad y electrónica;0,2
Ambos sexos;Menores de 30 años;Transporte y mantenimiento de vehículos;0,2
Ambos sexos;Menores de 30 años;Imagen y sonido;0,2
Ambos sexos;Menores de 30 años;Administración y gestión;4,1
Ambos sexos;Menores de 30 años;Comercio y marketing;1,2
Ambos sexos;Menores de 30 años;Servicios socioculturales y a la comunidad;2,6
Ambos sexos;Menores de 30 años;Hostelería y turismo;2
Ambos sexos;Menores de 30 años;Actividades físicas y deportivas;24,3
Ambos sexos;Menores de 30 años;Enseñanzas artísticas profesionales;51,6
Ambos sexos;Menores de 30 años;Otras familias profesionales;0,8
Ambos sexos;De 30 a 34 años;Total que han realizado Ciclos formativos o enseñanzas deportivas de grado medio o Enseñanzas artísticas profesionales;100
Ambos sexos;De 30 a 34 años;Agraria;1,5
Ambos sexos;De 30 a 34 años;Industrias alimentarias;0,3
Ambos sexos;De 30 a 34 años;Química;1,2
Ambos sexos;De 30 a 34 años;Imagen personal;5,2
Ambos sexos;De 30 a 34 años;Sanidad;17
Ambos sexos;De 30 a 34 años;Fabricación mecánica;1
Ambos sexos;De 30 a 34 años;Electricidad y electrónica;5,4
Ambos sexos;De 30 a 34 años;Transporte y mantenimiento de vehículos;2,7
Ambos sexos;De 30 a 34 años;Imagen y sonido;1,6
Ambos sexos;De 30 a 34 años;Administración y gestión;21,1
Ambos sexos;De 30 a 34 años;Comercio y marketing;3,5
Ambos sexos;De 30 a 34 años;Servicios socioculturales y a la comunidad;8,5
Ambos sexos;De 30 a 34 años;Hostelería y turismo;3
Ambos sexos;De 30 a 34 años;Actividades físicas y deportivas;9,8
Ambos sexos;De 30 a 34 años;Enseñanzas artísticas profesionales;16,1
Ambos sexos;De 30 a 34 años;Otras familias profesionales;3,9
Ambos sexos;De 35 y más años;Total que han realizado Ciclos formativos o enseñanzas deportivas de grado medio o Enseñanzas artísticas profesionales;100
Ambos sexos;De 35 y más años;Agraria;1,7
Ambos sexos;De 35 y más años;Industrias alimentarias;0,6
Ambos sexos;De 35 y más años;Química;1,4
Ambos sexos;De 35 y más años;Imagen personal;2,9
Ambos sexos;De 35 y más años;Sanidad;31,9
Ambos sexos;De 35 y más años;Fabricación mecánica;2,4
Ambos sexos;De 35 y más años;Electricidad y electrónica;12,7
Ambos sexos;De 35 y más años;Transporte y mantenimiento de vehículos;1,2
Ambos sexos;De 35 y más años;Imagen y sonido;1,3
Ambos sexos;De 35 y más años;Administración y gestión;24,6
