,VIN,modelo_coche,id_del_vendedor,fecha_venta
0,1FABPBLT3JL100001,Ford Fiesta,101,2024-01-15
1,2FADP4EJ9CL100002,Ford Focus,102,2024-02-02
2,3FABP4EJ8CR100003,Ford Mustang,103,2024-01-20
3,4FADS2LJ2CL100004,Ford Explorer,101,2024-02-10
4,5FAHP3K22CL100005,Ford Escape,102,2024-01-05
5,1FABP4BJ3DL100006,Ford Fusion,103,2024-02-28
6,2FABP4AV1FL100007,Ford Bronco,101,2024-01-12
7,3FAHP0JA4CL100008,Ford Edge,102,2024-02-18
8,4FABP4EJ7CL100009,Ford Ranger,103,2024-01-08
9,5FABP4CN0CL100010,Ford Transit,101,2024-02-25
10,1FABPBLT3JL100011,Ford Fiesta,104,2024-03-05
11,2FADP4EJ9CL100012,Ford Focus,105,2024-03-12
12,3FABP4EJ8CR100013,Ford Mustang,106,2024-03-18
13,4FADS2LJ2CL100014,Ford Explorer,104,2024-03-24
14,5FAHP3K22CL100015,Ford Escape,105,2024-03-30
15,1FABP4BJ3DL100016,Ford Fusion,106,2024-04-05
16,2FABP4AV1FL100017,Ford Bronco,104,2024-04-12
17,3FAHP0JA4CL100018,Ford Edge,105,2024-04-18
18,4FABP4EJ7CL100019,Ford Ranger,106,2024-04-25
19,5FABP4CN0CL100020,Ford Transit,104,2024-05-02
20,1FABPBLT3JL100021,Ford Fiesta,107,2024-05-10
21,2FADP4EJ9CL100022,Ford Focus,108,2024-05-18
22,3FABP4EJ8CR100023,Ford Mustang,109,2024-05-25
23,4FADS2LJ2CL100024,Ford Explorer,107,2024-06-02
24,5FAHP3K22CL100025,Ford Escape,108,2024-06-10
25,1FABP4BJ3DL100026,Ford Fusion,109,2024-06-18
26,2FABP4AV1FL100027,Ford Bronco,107,2024-06-25
27,3FAHP0JA4CL100028,Ford Edge,108,2024-07-02
28,4FABP4EJ7CL100029,Ford Ranger,109,2024-07-10
29,5FABP4CN0CL100030,Ford Transit,107,2024-07-18
30,1FABPBLT3JL100031,Ford Fiesta,110,2024-07-25
31,2FADP4EJ9CL100032,Ford Focus,111,2024-08-02
32,3FABP4EJ8CR100033,Ford Mustang,112,2024-08-10
33,4FADS2LJ2CL100034,Ford Explorer,110,2024-08-18
34,5FAHP3K22CL100035,Ford Escape,111,2024-08-25
35,1FABP4BJ3DL100036,Ford Fusion,112,2024-09-02
36,2FABP4AV1FL100037,Ford Bronco,110,2024-09-10
37,3FAHP0JA4CL100038,Ford Edge,111,2024-09-18
38,4FABP4EJ7CL100039,Ford Ranger,112,2024-09-25
39,5FABP4CN0CL100040,Ford Transit,110,2024-10-02
40,1FABPBLT3JL100041,Ford Fiesta,113,2024-10-10
41,2FADP4EJ9CL100042,Ford Focus,114,2024-10-18
42,3FABP4EJ8CR100043,Ford Mustang,115,2024-10-25
43,4FADS2LJ2CL100044,Ford Explorer,113,2024-11-02
44,5FAHP3K22CL100045,Ford Escape,114,2024-11-10
45,1FABP4BJ3DL100046,Ford Fusion,115,2024-11-18
46,2FABP4AV1FL100047,Ford Bronco,113,2024-11-25
47,3FAHP0JA4CL100048,Ford Edge,114,2024-12-02
48,4FABP4EJ7CL100049,Ford Ranger,115,2024-12-10
49,5FABP4CN0CL100050,Ford Transit,113,2024-12-18
