,VIN,numero_puertas,camara_trasera,sensor_aparcamiento
0,1FABPBLT3JL100001,5,True,True
1,2FADP4EJ9CL100002,3,False,False
2,3FABP4EJ8CR100003,5,True,True
3,4FADS2LJ2CL100004,5,False,True
4,5FAHP3K22CL100005,3,False,False
5,1FABP4BJ3DL100006,5,True,False
6,2FABP4AV1FL100007,5,True,True
7,3FAHP0JA4CL100008,3,False,False
8,4FABP4EJ7CL100009,5,False,True
9,5FABP4CN0CL100010,5,True,False
10,1FABPBLT3JL100011,3,False,False
11,2FADP4EJ9CL100012,5,True,True
12,3FABP4EJ8CR100013,5,True,False
13,4FADS2LJ2CL100014,3,False,False
14,5FAHP3K22CL100015,5,True,True
15,1FABP4BJ3DL100016,3,False,False
16,2FABP4AV1FL100017,5,True,True
17,3FAHP0JA4CL100018,5,True,False
18,4FABP4EJ7CL100019,3,False,False
19,5FABP4CN0CL100020,5,True,True
20,1FABPBLT3JL100021,5,False,False
21,2FADP4EJ9CL100022,3,False,True
22,3FABP4EJ8CR100023,5,True,True
23,4FADS2LJ2CL100024,5,False,False
24,5FAHP3K22CL100025,3,False,True
25,1FABP4BJ3DL100026,5,True,False
26,2FABP4AV1FL100027,5,False,False
27,3FAHP0JA4CL100028,3,False,True
28,4FABP4EJ7CL100029,5,True,True
29,5FABP4CN0CL100030,5,True,False
30,1FABPBLT3JL100031,3,False,False
31,2FADP4EJ9CL100032,5,True,True
32,3FABP4EJ8CR100033,5,False,True
33,4FADS2LJ2CL100034,3,False,False
34,5FAHP3K22CL100035,5,True,True
35,1FABP4BJ3DL100036,3,False,False
36,2FABP4AV1FL100037,5,True,True
37,3FAHP0JA4CL100038,5,True,False
38,4FABP4EJ7CL100039,3,False,False
39,5FABP4CN0CL100040,5,True,True
40,1FABPBLT3JL100041,5,True,False
41,2FADP4EJ9CL100042,3,False,True
42,3FABP4EJ8CR100043,5,True,True
43,4FADS2LJ2CL100044,5,False,False
44,5FAHP3K22CL100045,3,False,True
45,1FABP4BJ3DL100046,5,True,False
46,2FABP4AV1FL100047,5,False,False
47,3FAHP0JA4CL100048,3,False,True
48,4FABP4EJ7CL100049,5,True,True
49,5FABP4CN0CL100050,5,True,False
