id,order_id,product_id,status,created_at,shipped_at,delivered_at,returned_at,sale_price
152013,104663,14235,cancelled,2023-05-07 06:08:40+00:00,,,,0.0199999995529651
40993,28204,14235,complete,2023-03-14 03:47:21+00:00,2023-03-15 22:57:00+00:00,2023-03-18 01:08:00+00:00,,0.0199999995529651
51224,35223,14235,complete,2023-12-05 13:25:30+00:00,2023-12-06 01:20:00+00:00,2023-12-10 10:04:00+00:00,,0.0199999995529651
36717,25278,14235,shipped,2023-12-22 20:48:19+00:00,2023-12-24 16:44:00+00:00,,,0.0199999995529651
131061,90241,14235,shipped,2022-06-19 16:57:59+00:00,2022-06-19 19:29:00+00:00,,,0.0199999995529651
154022,106052,14235,shipped,2023-09-19 09:13:08+00:00,2023-09-16 09:24:00+00:00,,,0.0199999995529651
67253,46269,14159,complete,2021-10-31 01:26:46+00:00,2021-11-01 17:47:00+00:00,2021-11-02 13:29:00+00:00,,0.4900000095367431
116116,80002,14159,complete,2022-04-01 13:25:52+00:00,2022-03-31 05:13:00+00:00,2022-04-02 22:18:00+00:00,,0.4900000095367431
28239,19512,14159,shipped,2023-10-29 08:08:40+00:00,2023-10-29 16:59:00+00:00,,,0.4900000095367431
69641,47894,14159,shipped,2024-01-07 23:06:39+00:00,2024-01-10 19:32:00+00:00,,,0.4900000095367431
132745,91372,14202,cancelled,2023-03-29 07:54:55+00:00,,,,1.5
166920,114977,28700,cancelled,2020-07-02 15:08:04+00:00,,,,1.5
54884,37750,28700,complete,2023-02-27 02:31:30+00:00,2023-03-01 14:39:00+00:00,2023-03-03 16:51:00+00:00,,1.5
97403,67023,14202,complete,2022-10-04 11:51:58+00:00,2022-10-04 17:02:00+00:00,2022-10-05 15:03:00+00:00,,1.5
116568,80301,28700,complete,2022-11-02 10:31:26+00:00,2022-11-02 11:21:00+00:00,2022-11-05 04:07:00+00:00,,1.5
3141,2165,28700,processing,2024-01-07 06:45:55+00:00,,,,1.5
75920,52253,14202,processing,2020-07-17 04:47:25+00:00,,,,1.5
80164,55159,14202,processing,2023-01-18 11:47:18+00:00,,,,1.5
142854,98355,28700,returned,2023-10-13 06:08:29+00:00,2023-10-14 02:38:00+00:00,2023-10-14 20:04:00+00:00,2023-10-17 00:08:00+00:00,1.5
28951,20008,28700,shipped,2021-02-27 03:16:44+00:00,2021-02-25 19:08:00+00:00,,,1.5
127343,87683,14202,shipped,2023-08-08 16:19:38+00:00,2023-08-08 20:00:00+00:00,,,1.5
123936,85334,13629,processing,2023-12-11 01:10:06+00:00,,,,1.5099999904632568
163019,112277,13629,processing,2023-04-27 01:35:01+00:00,,,,1.5099999904632568
12417,8613,13629,returned,2024-01-12 17:39:04+00:00,2024-01-13 04:11:00+00:00,2024-01-16 17:17:00+00:00,2024-01-18 13:53:00+00:00,1.5099999904632568
29454,20362,13629,shipped,2023-12-01 15:45:51+00:00,2023-12-03 07:48:00+00:00,,,1.5099999904632568
70326,48347,13629,shipped,2022-04-08 13:13:27+00:00,2022-04-09 11:52:00+00:00,,,1.5099999904632568
142090,97824,14298,cancelled,2023-06-25 11:40:22+00:00,,,,1.7200000286102295
156224,107558,14298,processing,2022-09-27 13:36:09+00:00,,,,1.7200000286102295
49378,33965,14298,returned,2023-05-15 02:22:01+00:00,2023-05-14 18:35:00+00:00,2023-05-18 21:12:00+00:00,2023-05-20 07:23:00+00:00,1.7200000286102295
81338,55968,14298,shipped,2023-02-26 12:26:52+00:00,2023-02-26 17:00:00+00:00,,,1.7200000286102295
181002,124695,12536,cancelled,2022-11-19 17:26:48+00:00,,,,1.75
35882,24703,12536,complete,2023-11-23 04:34:36+00:00,2023-11-23 09:20:00+00:00,2023-11-24 03:24:00+00:00,,1.75
112748,77696,12536,complete,,,,,1.75
117438,80895,12536,processing,2023-11-04 05:25:47+00:00,,,,1.75
166143,114444,12536,processing,2021-11-19 13:59:16+00:00,,,,1.75
31487,21731,13659,cancelled,2020-12-25 12:05:04+00:00,,,,1.820000052452088
104924,72282,13659,complete,2023-04-18 01:05:54+00:00,2023-04-14 04:16:00+00:00,2023-04-14 13:04:00+00:00,,1.820000052452088
122182,84145,15332,complete,2023-10-08 12:48:46+00:00,2023-10-04 17:41:00+00:00,2023-10-07 21:58:00+00:00,,1.820000052452088
142870,98364,15332,complete,2023-06-26 12:26:41+00:00,2023-06-27 13:23:00+00:00,2023-06-29 11:24:00+00:00,,1.820000052452088
145938,100484,13659,complete,2023-11-07 14:27:25+00:00,2023-11-10 11:08:00+00:00,2023-11-11 05:10:00+00:00,,1.820000052452088
105331,72555,15332,processing,2023-11-16 12:24:48+00:00,,,,1.820000052452088
117019,80598,15332,processing,2021-06-20 07:17:24+00:00,,,,1.820000052452088
152653,105117,15332,processing,2022-11-12 16:31:57+00:00,,,,1.820000052452088
81594,56136,13659,shipped,2023-10-08 14:03:37+00:00,2023-10-10 02:28:00+00:00,,,1.820000052452088
102820,70796,15332,shipped,,,,,1.820000052452088
1069,731,9204,cancelled,2024-01-13 06:10:54+00:00,,,,1.950000047683716
61156,42147,9204,cancelled,2019-03-28 15:22:27+00:00,,,,1.950000047683716
113652,78311,9043,cancelled,2023-12-18 14:25:23+00:00,,,,1.950000047683716
142358,98008,9043,cancelled,2023-11-22 02:57:31+00:00,,,,1.950000047683716
161295,111090,3049,cancelled,2023-11-14 13:44:57+00:00,,,,1.950000047683716
84206,57925,9204,complete,2022-08-14 06:54:15+00:00,2022-08-15 19:56:00+00:00,2022-08-19 08:36:00+00:00,,1.950000047683716
106062,73063,9204,complete,2022-06-30 23:36:20+00:00,2022-06-29 16:39:00+00:00,2022-07-01 12:46:00+00:00,,1.950000047683716
162941,112229,3049,complete,,,,,1.950000047683716
181578,125103,9204,complete,2023-01-18 15:00:38+00:00,2023-01-19 13:41:00+00:00,2023-01-19 21:05:00+00:00,,1.950000047683716
59904,41260,3049,processing,2023-11-18 06:06:37+00:00,,,,1.950000047683716
125970,86767,9043,processing,2023-02-17 10:16:33+00:00,,,,1.950000047683716
143189,98583,9204,processing,2023-08-05 07:56:39+00:00,,,,1.950000047683716
180898,124617,9043,processing,2023-03-15 02:58:39+00:00,,,,1.950000047683716
93025,64020,3049,returned,2023-03-05 16:41:10+00:00,2023-03-08 08:36:00+00:00,2023-03-11 21:56:00+00:00,2023-03-13 02:11:00+00:00,1.950000047683716
140789,96914,3049,returned,2022-09-05 05:21:32+00:00,2022-09-05 08:22:00+00:00,2022-09-08 16:11:00+00:00,2022-09-10 01:15:00+00:00,1.950000047683716
166576,114731,3049,returned,2023-04-21 08:19:13+00:00,2023-04-22 18:10:00+00:00,2023-04-26 17:58:00+00:00,2023-04-27 20:06:00+00:00,1.950000047683716
171785,118280,9043,returned,2022-01-18 23:19:43+00:00,2022-01-21 20:00:00+00:00,2022-01-25 21:30:00+00:00,2022-01-28 15:01:00+00:00,1.950000047683716
32102,22159,9204,shipped,2024-01-07 12:18:21+00:00,2024-01-10 00:13:00+00:00,,,1.950000047683716
42383,29164,3049,shipped,2023-10-27 04:35:47+00:00,2023-10-30 04:21:00+00:00,,,1.950000047683716
85801,59027,9043,shipped,2022-05-21 22:43:32+00:00,2022-05-21 06:39:00+00:00,,,1.950000047683716
133864,92143,9204,shipped,2022-06-15 12:54:18+00:00,2022-06-13 06:16:00+00:00,,,1.950000047683716
135022,92924,9204,shipped,2021-04-03 09:29:53+00:00,2021-04-04 06:00:00+00:00,,,1.950000047683716
167684,115497,9043,shipped,2023-08-20 18:08:32+00:00,2023-08-20 02:15:00+00:00,,,1.950000047683716
14670,10167,14549,cancelled,2023-08-18 04:50:16+00:00,,,,1.9800000190734863
62167,42812,14549,shipped,2021-01-24 18:15:02+00:00,2021-01-27 05:31:00+00:00,,,1.9800000190734863
59801,41193,13606,cancelled,2023-10-27 06:40:32+00:00,,,,2.5
16354,11304,13606,complete,2022-12-25 09:46:43+00:00,2022-12-22 15:07:00+00:00,2022-12-23 18:10:00+00:00,,2.5
