order_id,status,gender,created_at,returned_at,shipped_at,delivered_at,num_of_item
8,cancelled,f,2022-10-20 10:03:00+00:00,,,,3
60,cancelled,f,2023-01-20 02:12:00+00:00,,,,1
64,cancelled,f,2021-12-06 09:11:00+00:00,,,,1
89,cancelled,f,2020-08-13 09:58:00+00:00,,,,1
102,cancelled,f,2023-01-17 08:17:00+00:00,,,,2
117,cancelled,f,2023-07-31 13:25:00+00:00,,,,1
143,cancelled,f,2020-04-21 02:59:00+00:00,,,,1
153,cancelled,f,2022-07-10 16:42:00+00:00,,,,2
182,cancelled,f,,,,,3
183,cancelled,f,2023-07-04 09:25:00+00:00,,,,1
185,cancelled,f,2021-08-30 10:43:00+00:00,,,,2
192,cancelled,f,2021-02-22 11:12:00+00:00,,,,1
194,cancelled,f,2022-01-06 11:12:00+00:00,,,,2
220,cancelled,f,2023-06-25 06:27:00+00:00,,,,1
239,cancelled,f,2023-11-06 16:21:00+00:00,,,,1
248,cancelled,f,2024-01-12 06:10:00+00:00,,,,2
251,cancelled,f,2020-10-06 15:56:00+00:00,,,,2
273,cancelled,f,2024-01-14 10:29:00+00:00,,,,1
276,cancelled,f,2023-10-01 07:30:00+00:00,,,,1
280,cancelled,f,2022-04-19 06:18:00+00:00,,,,2
300,cancelled,f,2023-10-19 01:18:00+00:00,,,,2
304,cancelled,f,2022-10-15 11:47:00+00:00,,,,1
305,cancelled,f,2022-01-05 11:47:00+00:00,,,,1
324,cancelled,f,2023-05-12 01:23:00+00:00,,,,1
325,cancelled,f,2021-08-01 14:00:00+00:00,,,,3
336,cancelled,f,2023-07-13 17:39:00+00:00,,,,2
345,cancelled,f,2023-03-02 12:10:00+00:00,,,,2
350,cancelled,f,2023-12-07 12:18:00+00:00,,,,1
352,cancelled,f,2021-01-02 06:23:00+00:00,,,,1
357,cancelled,f,2023-04-26 06:46:00+00:00,,,,1
365,cancelled,f,2023-10-20 15:00:00+00:00,,,,2
380,cancelled,f,2022-12-15 02:47:00+00:00,,,,2
425,cancelled,f,2022-06-05 00:31:00+00:00,,,,2
429,cancelled,f,2023-12-26 13:04:00+00:00,,,,1
449,cancelled,f,2023-05-27 14:54:00+00:00,,,,1
454,cancelled,f,2023-01-14 08:30:00+00:00,,,,2
462,cancelled,f,2021-12-24 14:13:00+00:00,,,,4
497,cancelled,f,2023-03-05 12:35:00+00:00,,,,2
499,cancelled,f,2022-12-15 01:35:00+00:00,,,,1
510,cancelled,f,2023-05-21 05:45:00+00:00,,,,1
511,cancelled,f,2023-10-07 05:45:00+00:00,,,,3
533,cancelled,f,2023-01-10 00:17:00+00:00,,,,1
537,cancelled,f,2022-01-08 11:52:00+00:00,,,,1
543,cancelled,f,2022-06-19 02:31:00+00:00,,,,2
576,cancelled,f,2021-06-12 03:06:00+00:00,,,,1
579,cancelled,f,2023-09-26 14:08:00+00:00,,,,2
591,cancelled,f,2022-06-30 10:15:00+00:00,,,,1
619,cancelled,f,2023-08-31 00:41:00+00:00,,,,4
670,cancelled,f,2021-05-13 15:38:00+00:00,,,,3
691,cancelled,f,2023-11-01 12:33:00+00:00,,,,1
714,cancelled,f,2023-03-22 16:33:00+00:00,,,,1
724,cancelled,f,2024-01-13 09:29:00+00:00,,,,1
731,cancelled,f,2024-01-13 09:44:00+00:00,,,,1
732,cancelled,f,2020-02-26 03:02:00+00:00,,,,2
748,cancelled,f,2020-06-13 01:41:00+00:00,,,,1
758,cancelled,f,2021-07-10 01:26:00+00:00,,,,1
762,cancelled,f,2022-02-17 17:36:00+00:00,,,,1
763,cancelled,f,2022-10-29 02:00:00+00:00,,,,1
779,cancelled,f,2023-08-31 08:08:00+00:00,,,,1
781,cancelled,f,2023-04-28 03:43:00+00:00,,,,1
806,cancelled,f,2023-05-17 16:47:00+00:00,,,,2
809,cancelled,f,2022-09-25 04:31:00+00:00,,,,4
816,cancelled,f,2024-01-08 11:47:00+00:00,,,,1
838,cancelled,f,2023-12-06 17:11:00+00:00,,,,4
853,cancelled,f,2023-12-22 06:31:00+00:00,,,,1
863,cancelled,f,2023-03-04 05:32:00+00:00,,,,1
873,cancelled,f,2020-02-27 05:17:00+00:00,,,,2
885,cancelled,f,2021-10-28 03:06:00+00:00,,,,1
899,cancelled,f,2024-01-10 04:26:00+00:00,,,,2
903,cancelled,f,2023-04-02 17:13:00+00:00,,,,1
913,cancelled,f,2023-08-24 16:21:00+00:00,,,,1
914,cancelled,f,2021-05-02 16:21:00+00:00,,,,1
919,cancelled,f,2023-04-04 00:22:00+00:00,,,,1
938,cancelled,f,2022-06-07 01:07:00+00:00,,,,1
956,cancelled,f,2023-01-21 16:07:00+00:00,,,,4
973,cancelled,f,2022-12-27 13:57:00+00:00,,,,1
995,cancelled,f,2021-01-04 18:39:00+00:00,,,,1
1017,cancelled,f,2020-07-15 08:00:00+00:00,,,,1
1037,cancelled,f,2024-01-14 17:11:00+00:00,,,,2
1051,cancelled,f,2023-04-25 14:34:00+00:00,,,,1
1066,cancelled,f,2023-12-12 06:56:00+00:00,,,,1
1068,cancelled,f,2021-06-25 17:27:00+00:00,,,,2
1077,cancelled,f,2023-11-14 11:57:00+00:00,,,,3
1078,cancelled,f,2022-12-23 11:57:00+00:00,,,,1
1087,cancelled,f,2023-01-19 17:23:00+00:00,,,,4
1089,cancelled,f,2023-07-27 15:39:00+00:00,,,,1
1100,cancelled,f,2020-02-06 15:02:00+00:00,,,,1
1110,cancelled,f,2020-08-04 02:57:00+00:00,,,,1
1120,cancelled,f,2021-09-21 10:46:00+00:00,,,,1
1137,cancelled,f,,,,,1
1142,cancelled,f,2023-06-08 04:28:00+00:00,,,,1
