id,cost,category,name,brand,retail_price,department
13842,2.5187499908,accessories,low profile dyed cotton twill cap - navy w39s55d,mg,6.25,women
13928,2.3383499149,accessories,low profile dyed cotton twill cap - putty w39s55d,mg,5.9499998093,women
14115,4.8795598794,accessories,enzyme regular solid army caps-black w35s45d,mg,10.9899997711,women
14157,4.6487698873,accessories,enzyme regular solid army caps-olive w35s45d (one size),mg,10.9899997711,women
14273,6.5079298865,accessories,washed canvas ivy cap - black w11s64c,mg,15.9899997711,women
15674,3.1062499998,plus,low profile dyed cotton twill cap - navy w39s55d,mg,6.25,women
15816,3.1772999091,plus,low profile dyed cotton twill cap - putty w39s55d,mg,5.9499998093,women
28646,8.7356298797,accessories,4 panel large bill flap hat w15s48b (one size fits most/khaki),mg,19.9899997711,men
28670,2.6759399154,accessories,low profile dyed cotton twill cap - black w39s55d,mg,6.1799998283,men
28714,2.2750000004,accessories,low profile dyed cotton twill cap - khaki w39s55d,mg,6.25,men
28779,7.3674899153,accessories,fishing hat (01)-khaki w10s32f,mg,20.9899997711,men
28904,6.7957498849,accessories,fashion plaid ivy cap - blue w10s69f,mg,15.9899997711,men
29007,10.7959998682,accessories,washed hunting fishing outdoor hat-camo w11s41d,mg,26.9899997711,men
12777,16.6912907608,swim,womens mw tankini boyshorts swimsuit swimwear crisscross back multiple prints s-xxl,mw,44.9900016785,women
12810,21.0553208847,swim,mw long ruffle tankini bikini swimsuit bra straps multiple prints,mw,44.9900016785,women
12812,21.1453009028,swim,womens long tankini bikini swimsuit marina west 2 piece multiple prints bra straps,mw,44.9900016785,women
12853,18.7158407701,swim,womens mw tankini boyshorts swimsuit swimwear fashion prints s-xxl,mw,44.9900016785,women
12900,17.3956507882,swim,womens one piece/bikini monokini swimsuit w/ fringe mw multiple prints and solids,mw,39.9900016785,women
13247,20.6504108871,swim,womens swimsuit mw swimwear set halter w/ boyshorts 2 piece bikini multiple prints,mw,44.9900016785,women
13477,22.6008908095,swim,mw women's swimsuit two piece black tankini with bikini bottoms,mw,54.9900016785,women
13574,19.3906908012,swim,womens mw two piece tankini boyshorts swimsuit brown & turquoise ethnic print,mw,44.9900016785,women
2848,20.9467004399,active,2xu women's compression recovery sock,2xu,44.9500007629,women
3039,22.627350426,active,2xu women's compression race sock,2xu,49.9500007629,women
9041,20.4795002272,socks & hosiery,2xu women's compression race sock,2xu,49.9500007629,women
13122,68.7373720143,swim,2xu women's swimmers compression long sleeve top,2xu,150.4100036621,women
18147,17.0699003981,active,2xu non-stirrup compression calf guard,2xu,40.4500007629,men
18363,65.0955812367,active,2xu men's compression recovery tights,2xu,159.9400024414,men
18394,22.9770003956,active,2xu men's compression race sock,2xu,49.9500007629,men
18465,27.2400002182,active,2xu men's elite compression performance sock,2xu,60.0,men
18593,17.0011006552,active,2xu men's compression recovery sock,2xu,43.1500015259,men
18607,30.6361692867,active,2xu men's compression 3/4 tights,2xu,79.9899978638,men
18644,41.2876790698,active,2xu men's elite compression long sleeve top,2xu,107.5199966431,men
18664,25.8384504325,active,2xu recovery compression leg sleeves,2xu,59.9500007629,men
18708,42.5972606134,active,2xu men's thermal compression long sleeve top,2xu,111.2200012207,men
18796,36.3139191044,active,2xu men's compression long sleeve top,2xu,84.0599975586,men
24644,27.8721005284,socks,2xu men's compression race sock,2xu,49.9500007629,men
24674,35.6400000863,socks,2xu men's elite compression performance sock,2xu,60.0,men
24731,25.5879509598,socks,2xu men's compression recovery sock,2xu,43.1500015259,men
27569,92.6525625943,swim,2xu men's swimmers compression long sleeve top,2xu,150.4100036621,men
